,id,lon,lat,type
0,11381,23.946727276001738,37.93764758004892,solar
1,12936,22.59962975217044,36.90343810279575,solar
2,13673,22.61182776738177,36.88173702884734,solar
3,33332,23.155247084025547,37.48529591563293,wind
4,33651,20.54836510628408,39.774893083875995,wind
5,33714,22.931187490242376,38.31711222262845,wind
6,36876,21.23292614841204,38.76934867818434,wind
7,33837,23.49681071356205,38.23349790973124,wind
8,33815,22.36230124266805,37.39645464791498,wind
9,33804,22.581565841005272,38.31357150723943,wind
10,33629,22.597456926455536,37.53446386024317,wind
11,34391,23.117260086550466,38.2445360369712,wind
12,32947,20.9934309466942,38.77495228355805,wind
13,34398,25.83573847781144,41.15301647565505,wind
14,33466,23.317670566406406,38.478476025250174,wind
15,33652,20.51975059921616,39.83657134611421,wind
16,33647,26.01365802179738,41.05658631442512,wind
17,33805,22.45947529645754,37.69128267903497,wind
